,Team,a.Team
1172,NYK,CHA
1173,CHI,IND
1174,TOR,PHI
1175,WAS,DET
1176,NOP,DAL
1177,OKC,LAC
1178,PHX,GSW
1179,HOU,UTA
1180,NYK,ORL
1181,MEM,BKN
1182,MIA,TOR
1183,POR,DEN
1184,MIN,SAS
1185,PHI,IND
1186,CHI,BOS
1187,CLE,WAS
1188,GSW,SAC
1189,ATL,CHA
1190,LAC,PHX
1191,NOP,UTA
1192,OKC,MIN
1193,LAL,POR
1194,CHI,CLE
1195,MIL,HOU
1196,IND,DET
1197,DEN,OKC
1198,MIA,TOR
1199,ORL,BOS
1200,PHI,SAS
1201,DAL,MEM
1202,SAC,LAC
1203,IND,SAS
1204,MIN,UTA
1205,CHA,NOP
1206,HOU,MEM
1207,POR,PHX
1208,NYK,DET
1209,MIA,BOS
1210,GSW,DEN
1211,WAS,CHI
1212,ATL,ORL
1213,BKN,TOR
1214,LAL,LAC
1215,PHI,MIL
1216,SAC,POR
1217,BKN,NOP
1218,MIA,CHI
1219,PHX,DAL
1220,IND,WAS
1221,MIN,OKC
1222,UTA,DEN
1223,MEM,NYK
1224,TOR,CLE
1225,ATL,HOU
1226,DET,ORL
1227,SAS,CHA
1228,BOS,PHI
1229,GSW,LAL
