,a.Team,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
54,BOS,38,91,41.8,15,45,33.3,10,16,62.5,13,30,43,28,4,4,8,17
55,DAL,49,95,51.6,10,38,26.3,22,32,68.8,10,37,47,24,4,3,14,15
56,PHI,40,87,46.0,12,36,33.3,12,13,92.3,11,25,36,19,3,2,11,17
57,WAS,39,79,49.4,16,37,43.2,15,18,83.3,5,33,38,26,9,5,19,18
58,SAS,52,98,53.1,13,34,38.2,25,29,86.2,14,38,52,31,8,3,18,25
59,UTA,40,91,44.0,8,32,25.0,22,30,73.3,11,41,52,24,5,1,11,23
60,TOR,56,104,53.8,8,28,28.6,8,8,100.0,15,30,45,38,8,6,8,14
61,MEM,39,84,46.4,19,43,44.2,10,12,83.3,8,39,47,29,1,3,18,22
62,PHX,46,81,56.8,13,34,38.2,23,28,82.1,5,33,38,31,4,6,13,30
63,DET,32,78,41.0,9,33,27.3,29,36,80.6,9,29,38,22,4,1,16,29
64,GSW,42,105,40.0,9,42,21.4,17,17,100.0,22,35,57,26,9,4,15,22
65,LAL,52,93,55.9,9,30,30.0,21,28,75.0,11,40,51,36,4,8,6,9
66,IND,36,83,43.4,9,24,37.5,24,29,82.8,11,33,44,21,5,6,17,26
67,POR,43,93,46.2,9,30,30.0,12,20,60.0,11,31,42,29,12,3,10,26
68,LAC,42,85,49.4,11,29,37.9,19,23,82.6,11,26,37,25,5,4,13,29
69,DAL,47,77,61.0,14,34,41.2,14,16,87.5,1,30,31,32,3,2,14,23
70,SAC,54,88,61.4,19,39,48.7,11,15,73.3,8,33,41,38,11,7,13,21
71,SAS,42,91,46.2,15,38,39.5,16,23,69.6,14,32,46,27,8,4,15,20
72,LAC,34,90,37.8,11,35,31.4,15,18,83.3,12,38,50,26,5,8,18,14
73,LAL,45,90,50.0,9,22,40.9,24,30,80.0,15,38,53,28,10,5,16,17
74,CHI,45,88,51.1,13,31,41.9,18,22,81.8,9,33,42,25,12,4,7,13
75,ATL,39,91,42.9,8,37,21.6,21,23,91.3,16,30,46,23,6,3,11,14
76,DEN,38,95,40.0,6,26,23.1,11,20,55.0,15,36,51,19,11,5,11,16
77,ORL,44,88,50.0,8,24,33.3,20,26,76.9,6,42,48,26,2,14,11,16
78,TOR,42,84,50.0,8,26,30.8,18,23,78.3,14,20,34,26,6,3,13,19
79,NYK,49,93,52.7,17,36,47.2,15,24,62.5,16,32,48,24,6,5,10,12
